Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
Traders and dealers in lumber,0,9440,19,11,244,131,49,11,83,1046,434,411,189,111,112,345,162,487,369,122,64,371,39,17,159,310,1396,23,733,4,1022,74,21,62,70,100,144,33,358,104
Traders and dealers in machinery (not specified),0,254,,,2,14,,,,24,3,9,,4,5,,,20,8,4,,13,1,,,16,30,,23,,44,4,,1,,2,8,,17,2
Traders and dealers in music and musical instruments,0,848,6,,9,30,2,1,4,69,23,24,5,9,13,18,14,76,58,4,,17,3,2,5,26,246,,77,2,51,5,2,8,3,8,5,2,15,6
Traders and dealers in newspapers and periodicals,0,1455,9,4,33,23,3,,3,77,17,40,10,11,26,,29,97,42,5,2,29,5,16,6,81,600,1,81,2,86,16,2,13,1,1,32,8,19,25
"Traders and dealers in oils, paints, and turpentine",0,986,,,,26,3,,,34,6,,,,,8,,191,18,,,,,,,78,386,,105,,97,22,,,,,,,12,
Traders and dealers in optical instruments,0,301,,,10,19,,,,1,8,,,2,4,2,5,23,6,,,,,,,16,163,,10,,18,6,,2,,,1,,2,3
Traders and dealers in produce,0,11809,16,4,428,91,55,,22,1521,399,770,72,132,87,184,289,690,298,187,8,352,18,20,79,620,2684,15,936,24,935,16,24,114,22,88,40,11,464,94
Traders and dealers in provisions,60,7528,18,,115,278,21,21,14,97,138,61,3,84,154,201,292,2119,45,19,3,76,5,1,30,444,2044,6,274,5,257,402,36,16,6,20,45,5,23,90
Traders and dealers in real estate,0,8933,17,17,566,81,5,11,31,1062,211,131,302,112,69,21,157,482,320,56,2,552,149,56,37,544,2014,6,337,18,1028,20,24,50,70,11,107,,141,116
Traders and dealers in sewing-machines,0,3152,7,,19,35,16,,12,295,284,138,56,133,30,20,39,131,170,66,,234,3,,10,87,407,1,495,,285,19,,26,3,9,20,23,73,6
Undertakers,9,1996,10,1,51,36,20,,7,72,53,11,5,47,28,22,49,145,35,1,4,45,2,5,20,139,624,5,154,2,267,26,3,18,2,6,36,2,14,20
"Weighers, gaugers, and measurers",9,926,21,,14,3,1,,2,55,4,6,1,49,50,8,83,59,7,2,,49,,4,,17,296,,41,1,116,8,5,4,,,1,,10,
Wreckers,0,93,,,2,,,2,,3,,,,,1,2,,13,,,,,,,,5,43,,1,,2,,1,,,,17,,1,
"Manufactures, Mechanical, and Mining Industries",100,2707421,17070,6271,81508,86844,9514,4291,27040,133221,76057,47319,18126,44197,25807,62007,63326,292665,82637,18588,9981,79850,5763,13789,46553,103322,476775,20592,197010,8694,356240,47007,13794,29061,15879,22016,49413,17673,53517,43904
Agricultural implement makers,0,3811,31,,,229,4,,24,125,104,,1,5,1,172,16,279,60,19,,19,,,57,44,1317,6,942,,203,54,,,32,16,17,,33,1
Artificial flower makors,0,1169,,,1,,,,,10,,,,1,2,3,3,9,,,,6,,,,14,1105,,4,,3,2,,,,,1,,,5
Apprentices (not specified),9,15302,54,18,356,337,145,21,58,775,326,103,26,180,293,77,986,1482,342,47,44,584,11,7,19,1255,2420,63,62,23,3876,188,153,97,56,70,303,60,197,179
Bag-makers,0,866,,,92,,,,1,12,,,,39,,4,10,72,,,,19,,,13,165,281,,139,,15,,,,,,2,,1,1
Bakers,0,27680,130,60,870,309,111,56,284,1440,750,396,197,369,846,178,979,1563,509,157,99,1104,80,95,99,1395,7273,86,2473,52,3446,215,194,165,252,62,350,70,407,559
Basket-makers,0,3297,16,1,66,156,40,1,32,119,107,44,2,66,21,24,84,194,114,10,3,110,2,,58,232,705,24,323,,325,6,14,33,6,54,70,25,183,27
Bell-founders,0,169,,,,121,,,,,,,,2,,,1,2,,1,1,3,,,,,14,,9,,7,7,,,1,,,,,
Belting-factory operatives,0,296,,,,25,,,,3,3,,,11,,8,1,96,3,,,,,,22,16,33,,19,,22,34,,,,,,,,
Blacksmiths,90,141774,1895,931,3310,2698,537,313,2262,9412,6121,4004,2223,4138,1483,2697,3231,5774,4730,1255,1233,5661,415,564,1665,3823,19291,2165,11928,544,17509,931,1140,3623,1790,1415,4077,1423,3614,1859
"Bleachers, dyers, and scourers",0,4901,14,,52,271,15,,15,94,74,39,14,29,15,67,81,1284,29,6,1,77,5,,43,320,851,,155,4,650,580,5,8,,4,17,8,36,38
"Blind, door, and sash makers",0,5155,6,2,112,186,47,,6,140,44,55,,75,9,249,24,354,269,68,,8,1,1,181,399,1375,,597,2,258,50,3,19,10,144,24,30,401,6
Boat-makers,0,2101,2,,12,47,4,1,5,21,22,12,2,14,,78,65,169,23,8,,8,,,14,68,857,8,71,,469,37,7,,1,11,53,,5,7
Bone and ivory workers,0,208,,,,11,,,,3,2,,,,,7,3,27,,,,,,,,13,68,,,,72,,,,,,1,,,1
Bookbinders and finishers,90,9104,9,8,72,203,7,1,31,348,113,79,30,106,56,52,134,1102,8,18,4,281,8,7,32,299,3618,17,551,13,1351,44,17,43,19,19,34,5,88,187
